sex,internetdailyhour,transport,vehicletype,monthlygrocerybill,frequencyoftravelingbyair,vehiclemonthlydistancekm,wastebagweeklycount,timespentonpc,carbonemission
male,17,walk/bicycle,,210,rarely,66,3,14,1290
male,3,private,petrol,243,frequently,8711,3,20,5108
female,10,walk/bicycle,,125,very frequently,89,4,24,2799
female,18,public,,163,rarely,634,1,22,1206
male,21,private,hybrid,56,never,5885,2,13,2107
male,7,public,,87,rarely,1317,1,3,1233
female,19,walk/bicycle,,245,frequently,27,4,9,2140
male,7,private,lpg,297,frequently,4707,1,0,4005
female,16,private,petrol,53,never,6478,5,20,4070
female,10,public,,137,never,1133,5,6,930
male,2,walk/bicycle,,211,never,92,4,24,1674
male,16,private,electric,253,rarely,658,4,9,1707
female,21,public,,205,frequently,1275,2,16,2120
male,16,walk/bicycle,,77,rarely,29,1,22,1009
female,4,private,lpg,260,never,4360,7,21,3152
female,9,public,,255,frequently,1760,6,22,2160
female,13,private,electric,169,never,6544,7,7,1761
male,5,public,,230,very frequently,1358,1,11,2777
female,17,private,electric,139,very frequently,4460,3,8,3070
female,3,walk/bicycle,,235,frequently,3,4,16,2182
female,21,walk/bicycle,,52,frequently,2,4,11,1712
female,5,walk/bicycle,,134,rarely,61,6,11,2203
female,6,private,lpg,273,very frequently,720,2,15,2902
female,24,walk/bicycle,,53,rarely,17,4,0,788
male,18,walk/bicycle,,50,frequently,73,4,13,2294
male,10,walk/bicycle,,172,very frequently,67,1,8,2464
female,24,private,electric,86,frequently,4842,6,18,1979
female,5,walk/bicycle,,88,never,18,2,7,866
male,4,public,,193,never,863,7,10,1844
male,21,private,electric,209,rarely,9989,4,9,1844
female,15,private,diesel,230,frequently,4335,2,5,2831
male,12,public,,186,frequently,42,2,2,1789
male,19,walk/bicycle,,267,frequently,13,6,14,2257
male,20,public,,65,rarely,1993,5,15,1568
female,6,walk/bicycle,,195,very frequently,78,2,22,2204
female,10,walk/bicycle,,121,rarely,68,1,0,1163
female,3,public,,51,never,1183,5,11,1311
female,20,public,,56,frequently,1343,4,5,1843
female,6,private,electric,67,rarely,260,5,20,881
female,21,walk/bicycle,,210,never,32,1,21,987
male,3,private,lpg,158,rarely,8805,3,0,3948
female,0,walk/bicycle,,221,never,50,2,15,889
female,16,public,,154,frequently,104,3,7,1331
female,18,walk/bicycle,,250,very frequently,23,3,9,2530
male,2,public,,87,rarely,1484,4,21,1497
male,19,public,,80,never,1443,7,11,958
male,7,public,,175,very frequently,115,3,7,2649
female,20,private,lpg,239,frequently,4598,1,19,3078
male,21,walk/bicycle,,223,very frequently,12,4,14,2808
male,4,walk/bicycle,,151,very frequently,93,3,17,2196
male,12,private,lpg,284,frequently,9339,1,7,4527
male,18,public,,164,frequently,1710,4,8,1668
female,22,walk/bicycle,,110,rarely,63,7,11,1475
male,0,private,lpg,257,very frequently,2690,4,7,3365
male,17,private,diesel,70,never,8477,7,3,4021
female,9,private,lpg,258,frequently,7644,6,12,4028
male,17,walk/bicycle,,76,never,37,7,9,1110
female,5,public,,106,frequently,1979,4,5,2004
male,24,walk/bicycle,,251,very frequently,20,3,18,2346
male,8,private,petrol,125,frequently,5876,7,14,4926
male,7,private,diesel,132,very frequently,8841,7,24,5571
female,16,walk/bicycle,,167,very frequently,48,4,12,2484
male,20,private,lpg,274,very frequently,9439,3,9,6067
male,22,walk/bicycle,,93,frequently,62,2,7,1556
male,12,walk/bicycle,,215,rarely,49,1,13,1797
male,9,private,diesel,161,never,8956,5,1,3579
male,14,walk/bicycle,,68,frequently,58,4,12,1522
female,17,public,,61,very frequently,572,7,1,2259
female,5,public,,135,frequently,964,3,19,1699
male,8,public,,140,frequently,1023,7,3,1994
female,18,public,,118,never,280,5,21,1401
female,18,public,,106,frequently,1499,5,19,2429
female,17,private,diesel,156,rarely,4250,5,6,3294
male,7,public,,269,frequently,1005,5,5,2277
female,1,walk/bicycle,,239,never,79,2,21,1274
female,6,walk/bicycle,,127,never,58,4,23,513
female,22,walk/bicycle,,200,frequently,50,5,21,1809
male,2,private,lpg,256,never,2742,7,15,2630
male,16,public,,189,never,1309,3,23,1875
male,10,private,lpg,80,frequently,624,6,22,2647
female,20,private,electric,116,never,4413,2,14,1084
male,14,walk/bicycle,,238,very frequently,87,1,8,2417
female,7,walk/bicycle,,166,very frequently,34,1,23,2458
male,12,public,,105,rarely,1668,2,1,1645
male,5,public,,288,very frequently,474,6,15,2784
female,12,walk/bicycle,,163,rarely,34,6,22,1494
male,24,private,electric,271,frequently,3149,7,11,3130
male,3,private,electric,158,rarely,7037,2,11,697
female,21,walk/bicycle,,242,rarely,24,1,18,1111
male,9,public,,199,rarely,354,1,11,1332
female,4,private,petrol,267,rarely,3199,5,0,2659
female,5,public,,52,never,1028,6,17,1170
male,11,private,electric,158,never,2200,7,10,1570
female,21,walk/bicycle,,229,rarely,18,1,5,1312
male,19,private,electric,68,rarely,9691,5,1,1656
male,0,walk/bicycle,,254,very frequently,10,1,22,1944
male,13,walk/bicycle,,146,frequently,0,6,9,1947
male,12,walk/bicycle,,267,frequently,4,7,0,2478
male,24,walk/bicycle,,73,very frequently,62,5,18,2793
female,12,private,electric,113,rarely,6943,2,12,712
female,8,private,electric,147,very frequently,9543,1,16,1640
male,17,walk/bicycle,,289,frequently,66,3,8,2085
male,2,walk/bicycle,,211,very frequently,11,3,3,3127
female,16,walk/bicycle,,223,very frequently,91,1,0,2828
male,24,walk/bicycle,,147,frequently,0,2,11,1797
male,12,walk/bicycle,,112,never,4,5,12,492
female,13,public,,245,frequently,460,6,4,2293
female,11,public,,207,never,953,3,13,939
male,9,private,petrol,162,frequently,5254,1,9,3786
male,6,public,,163,rarely,1686,1,22,1054
male,3,public,,148,rarely,81,6,3,1406
male,12,private,electric,170,never,2157,4,23,1594
male,16,public,,175,rarely,541,3,8,1777
female,8,private,petrol,239,rarely,6343,4,24,3508
female,14,public,,97,rarely,673,3,17,1737
male,6,private,lpg,120,frequently,4098,7,0,3144
male,3,walk/bicycle,,144,frequently,94,6,21,1607
female,7,public,,214,frequently,1269,1,13,1320
female,17,private,electric,128,rarely,783,5,10,1655
male,23,private,petrol,186,never,8096,5,11,4954
female,13,walk/bicycle,,213,never,72,2,12,917
male,2,private,hybrid,57,rarely,6134,4,1,2788
female,17,walk/bicycle,,141,frequently,67,3,22,2005
female,22,walk/bicycle,,121,rarely,56,7,5,1280
male,4,walk/bicycle,,205,frequently,63,5,9,2341
female,13,walk/bicycle,,136,very frequently,1,5,1,2328
female,2,walk/bicycle,,76,never,89,1,14,1361
female,3,public,,165,never,920,4,24,945
male,15,public,,142,never,762,1,10,1309
female,19,walk/bicycle,,163,frequently,63,6,20,2219
male,12,private,petrol,112,rarely,7768,3,4,5128
female,22,public,,77,rarely,360,3,10,1289
male,2,public,,180,frequently,1305,6,8,2101
male,22,private,petrol,75,frequently,2737,4,17,2862
male,3,private,diesel,163,frequently,9777,6,15,5284
female,22,walk/bicycle,,99,rarely,35,4,14,1805
female,5,private,lpg,188,frequently,9888,4,0,4578
male,24,public,,298,very frequently,985,7,22,3183
female,7,public,,215,never,1913,3,12,1210
male,17,private,hybrid,237,very frequently,5268,4,18,4367
female,10,walk/bicycle,,118,frequently,96,5,23,1824
female,10,walk/bicycle,,211,rarely,69,3,17,1289
male,7,walk/bicycle,,123,very frequently,7,7,9,2924
male,12,private,hybrid,269,frequently,3033,2,2,2017
male,21,private,lpg,258,never,6736,4,9,3226
male,3,walk/bicycle,,170,frequently,33,1,17,2510
female,4,walk/bicycle,,80,frequently,91,4,6,2125
male,11,public,,145,rarely,811,6,20,2265
male,19,walk/bicycle,,151,never,45,4,24,1790
female,7,private,electric,76,rarely,3392,4,14,1283
female,14,private,lpg,113,very frequently,304,4,24,2283
male,19,public,,192,frequently,1784,7,3,2802
male,2,private,lpg,295,rarely,6637,4,2,4036
male,22,private,diesel,242,never,2721,7,22,3106
female,23,private,electric,77,frequently,3540,2,24,2230
female,15,private,diesel,99,frequently,5772,1,24,3139
male,21,private,petrol,195,rarely,84,7,15,1962
male,20,private,electric,117,never,2930,6,12,995
male,10,walk/bicycle,,74,frequently,59,1,12,1513
male,22,private,diesel,143,never,4986,7,13,3592
female,3,public,,140,very frequently,1573,4,16,3025
female,11,private,electric,178,very frequently,357,3,21,2287
male,11,walk/bicycle,,70,very frequently,19,1,5,2092
male,0,walk/bicycle,,110,very frequently,85,6,24,2445
male,5,private,hybrid,240,frequently,4087,5,24,3396
female,7,public,,163,rarely,1849,6,11,1306
female,24,public,,177,rarely,999,5,23,1341
male,23,walk/bicycle,,185,frequently,24,2,19,2368
female,7,private,electric,244,rarely,6420,2,18,1310
male,17,public,,96,frequently,1345,6,10,2634
male,2,walk/bicycle,,54,never,71,4,2,949
female,15,public,,79,rarely,669,5,4,1448
male,13,public,,230,rarely,678,1,15,1680
male,16,private,petrol,231,never,4269,2,23,3336
male,10,walk/bicycle,,60,never,65,3,22,1243
male,6,private,lpg,61,frequently,353,4,0,1844
female,13,private,diesel,175,rarely,5959,6,23,3911
female,6,walk/bicycle,,235,never,38,1,10,617
female,13,private,hybrid,145,never,4532,4,7,2369
female,6,walk/bicycle,,83,rarely,46,5,6,1362
female,16,public,,83,very frequently,15,1,8,1982
male,2,private,diesel,260,frequently,3152,1,11,2740
male,12,walk/bicycle,,171,frequently,51,1,16,2189
male,12,private,lpg,220,never,9839,6,20,4083
male,8,private,hybrid,283,rarely,8386,7,6,3056
female,22,walk/bicycle,,251,rarely,14,5,10,2302
male,9,walk/bicycle,,258,never,73,6,12,2848
female,20,public,,207,rarely,1473,7,21,1894
male,4,public,,127,very frequently,869,5,10,4266
female,19,walk/bicycle,,293,frequently,83,3,6,2126
male,9,private,petrol,126,frequently,1413,5,15,2957
male,14,public,,157,very frequently,519,4,17,2632
female,9,private,electric,54,never,1835,2,22,992
male,12,walk/bicycle,,252,frequently,96,5,7,1406
male,6,public,,138,very frequently,1049,5,20,3328
male,20,public,,183,rarely,68,2,24,1087
male,22,public,,104,frequently,535,6,11,2073
male,22,private,electric,200,frequently,4320,6,3,1610
female,19,public,,220,rarely,1706,1,21,1569
female,16,private,electric,126,rarely,1718,2,4,794
female,21,walk/bicycle,,187,rarely,47,4,5,1376
male,10,public,,286,never,794,5,18,1651
male,1,public,,202,very frequently,104,5,7,2546
female,15,walk/bicycle,,121,frequently,20,7,10,2023
female,10,private,petrol,187,rarely,6117,2,16,3380
female,15,private,lpg,234,very frequently,1406,7,0,3050
female,0,public,,189,frequently,582,4,24,2498
female,18,public,,157,frequently,736,4,7,1926
male,21,public,,73,rarely,1486,6,7,2453
male,1,private,electric,53,never,6296,3,10,1452
female,17,private,diesel,235,frequently,4812,1,6,3286
male,11,private,lpg,134,very frequently,7768,4,14,6170
female,20,private,hybrid,167,very frequently,1083,3,22,2307
male,14,private,diesel,284,rarely,2644,1,19,2395
male,13,public,,66,never,952,6,13,1201
male,7,private,electric,181,rarely,5209,3,1,1452
female,22,walk/bicycle,,92,very frequently,13,6,15,2238
female,1,walk/bicycle,,71,very frequently,40,7,19,3357
female,24,walk/bicycle,,80,rarely,29,3,13,1576
female,18,public,,129,frequently,512,7,3,2133
female,21,public,,260,rarely,1742,2,9,1631
female,5,private,petrol,295,rarely,6364,5,9,3996
female,5,public,,217,frequently,317,2,14,2616
female,24,private,hybrid,193,never,6477,5,6,1765
male,6,public,,198,never,709,1,9,1385
male,16,private,hybrid,221,frequently,2188,6,20,2071
female,12,walk/bicycle,,172,never,28,7,1,1735
male,6,public,,229,never,1285,5,14,895
male,15,walk/bicycle,,231,rarely,93,1,1,1041
female,19,public,,297,never,980,6,14,1933
female,14,public,,237,very frequently,1514,5,20,2529
female,9,public,,224,rarely,1145,1,7,1174
male,17,walk/bicycle,,101,very frequently,39,1,19,3080
female,3,private,hybrid,71,very frequently,320,4,23,1797
female,21,public,,178,never,1852,4,16,1657
male,7,walk/bicycle,,236,frequently,19,3,8,1747
male,13,public,,127,very frequently,412,6,14,3386
female,18,private,petrol,92,never,4413,3,15,2554
male,20,public,,256,never,1407,7,12,2534
female,16,public,,286,never,316,1,18,830
female,22,public,,137,very frequently,1844,1,22,2676
male,6,public,,250,frequently,743,4,11,2364
male,8,walk/bicycle,,259,frequently,67,5,8,2610
male,7,public,,177,very frequently,1231,4,6,2393
male,12,public,,188,never,937,4,11,2141
male,19,walk/bicycle,,148,rarely,25,5,19,2186
female,14,public,,112,rarely,228,2,2,1339
male,24,private,hybrid,81,very frequently,6386,5,19,4046
female,1,private,lpg,73,very frequently,62,6,1,2225
male,6,private,petrol,292,frequently,4689,7,4,4429
female,0,private,lpg,110,rarely,5739,4,10,2819
female,12,walk/bicycle,,193,frequently,50,6,19,1724
female,6,public,,92,never,445,3,10,1165
male,2,walk/bicycle,,97,very frequently,61,2,11,2377
female,15,walk/bicycle,,267,frequently,8,6,8,1656
female,23,public,,217,frequently,1646,7,0,2071
female,9,private,diesel,244,very frequently,6640,6,12,5031
female,3,walk/bicycle,,149,rarely,31,4,8,1204
female,20,public,,262,frequently,529,3,4,2311
female,9,public,,135,rarely,315,4,8,1366
female,17,walk/bicycle,,219,never,19,2,16,1433
female,20,public,,83,frequently,959,7,3,1802
male,7,private,electric,80,frequently,9345,3,0,2658
female,17,walk/bicycle,,83,never,92,7,2,1277
male,5,private,hybrid,87,rarely,2129,2,22,1777
male,3,walk/bicycle,,161,very frequently,61,5,4,2627
male,14,walk/bicycle,,270,rarely,84,7,9,2268
male,13,private,lpg,277,frequently,9940,5,18,5486
female,21,public,,229,frequently,1406,4,0,1972
female,1,walk/bicycle,,127,rarely,82,2,14,1239
female,7,private,hybrid,273,very frequently,5030,5,17,3251
male,20,private,diesel,170,very frequently,668,5,17,2559
male,6,private,electric,106,very frequently,3573,2,23,2440
female,21,private,electric,51,never,7189,4,3,746
female,15,private,diesel,134,very frequently,7921,6,2,5093
male,1,private,diesel,188,never,4543,3,16,2647
male,16,private,electric,52,rarely,7150,6,19,2379
male,24,private,lpg,156,frequently,9076,1,12,5065
female,2,public,,229,very frequently,728,4,12,2471
female,14,public,,262,never,1846,4,11,1376
male,11,private,diesel,157,very frequently,1297,6,0,3970
female,11,public,,241,very frequently,829,1,0,2770
male,17,walk/bicycle,,137,never,55,7,7,1359
female,1,public,,107,very frequently,1883,7,0,3139
female,0,public,,70,rarely,463,2,7,1471
female,5,public,,119,frequently,1601,6,7,1615
male,16,public,,96,never,30,3,14,1526
male,0,private,diesel,299,rarely,2136,7,3,3381
male,11,public,,244,very frequently,273,5,2,3184
male,0,walk/bicycle,,115,very frequently,81,7,4,3512
male,20,public,,205,very frequently,1295,7,6,3009
female,20,public,,266,never,1947,1,24,1275
female,17,public,,145,very frequently,243,7,15,3007
female,22,walk/bicycle,,131,frequently,0,2,10,1465
male,24,walk/bicycle,,123,never,76,3,3,1822
male,22,public,,171,rarely,922,6,5,1992
male,23,walk/bicycle,,214,very frequently,30,7,2,3294
female,6,public,,141,rarely,396,5,17,1303
female,6,public,,103,rarely,1894,5,5,1156
female,12,private,petrol,98,frequently,9787,4,21,4547
female,12,private,electric,123,frequently,4211,3,4,1960
male,16,walk/bicycle,,240,very frequently,37,2,9,2624
female,16,private,electric,184,never,4628,4,15,2020
male,16,public,,273,frequently,1249,2,0,2873
female,13,private,diesel,78,frequently,5744,7,1,3891
female,6,walk/bicycle,,78,never,18,4,20,1271
male,4,public,,117,rarely,1958,1,4,1603
female,16,walk/bicycle,,54,very frequently,74,2,7,1760
female,8,walk/bicycle,,217,frequently,36,6,1,2881
male,0,walk/bicycle,,179,never,24,4,24,1939
male,19,walk/bicycle,,266,frequently,77,2,6,2118
male,10,public,,265,frequently,1402,5,17,1980
male,1,private,hybrid,214,never,3051,4,15,1818
female,13,public,,117,never,201,7,3,1632
male,20,public,,207,never,1274,6,2,1764
female,1,walk/bicycle,,248,never,95,1,2,1089
female,12,walk/bicycle,,96,never,32,6,2,1753
male,8,public,,233,frequently,481,5,11,3244
male,12,private,lpg,183,frequently,4431,2,10,3187
female,22,private,lpg,179,frequently,8288,2,21,3942
female,18,walk/bicycle,,197,very frequently,74,7,14,2502
male,5,walk/bicycle,,181,never,12,6,8,1648
male,19,public,,139,never,689,7,20,1617
female,7,public,,93,never,1915,7,16,776
male,2,public,,297,never,577,1,19,524
male,12,private,diesel,273,frequently,4673,2,0,4144
male,2,public,,179,very frequently,272,1,22,2478
female,23,private,hybrid,287,frequently,3361,2,22,2619
female,20,walk/bicycle,,80,frequently,15,5,13,1951
female,3,private,electric,156,rarely,6754,5,10,1356
female,5,private,petrol,182,very frequently,5485,1,20,3449
female,17,walk/bicycle,,182,very frequently,58,2,22,2336
female,15,public,,289,frequently,1160,2,11,1713
male,9,public,,240,rarely,1497,4,1,2055
male,13,walk/bicycle,,105,never,70,5,17,1113
male,0,private,lpg,295,very frequently,2750,3,2,4377
male,20,private,diesel,128,rarely,5220,4,22,2639
female,9,private,hybrid,197,rarely,987,5,21,1612
female,23,private,petrol,80,very frequently,1312,6,10,3636
male,23,walk/bicycle,,237,frequently,11,4,5,2240
female,7,public,,146,rarely,996,6,5,1348
male,7,walk/bicycle,,160,frequently,75,2,5,1431
male,18,public,,54,never,8,2,17,892
male,2,public,,255,very frequently,1047,6,8,3112
male,15,public,,295,very frequently,1433,5,3,2865
female,13,private,hybrid,56,frequently,242,3,5,1907
female,10,private,petrol,56,frequently,9598,2,17,5677
male,3,public,,93,never,1735,2,5,1272
male,11,private,hybrid,298,never,867,5,16,1459
male,11,public,,216,frequently,1091,6,1,3171
male,13,private,diesel,68,rarely,9169,2,11,3357
female,21,private,petrol,206,very frequently,5286,1,5,4313
female,7,public,,259,rarely,447,1,5,1762
female,12,public,,132,rarely,189,5,9,2108
male,23,public,,149,never,89,2,21,874
male,8,private,diesel,67,frequently,9025,4,15,4571
female,19,private,petrol,87,frequently,6946,6,14,3936
male,19,private,diesel,298,very frequently,4007,6,9,4129
female,22,walk/bicycle,,110,frequently,35,2,21,1717
female,14,private,electric,111,frequently,2763,7,16,1895
male,21,private,lpg,53,frequently,9300,1,9,5635
male,6,walk/bicycle,,214,never,67,3,7,1306
female,19,private,hybrid,163,never,2555,7,16,1790
male,10,public,,84,frequently,165,2,22,1772
male,1,walk/bicycle,,74,never,53,4,23,1305
female,8,walk/bicycle,,91,never,52,7,19,901
male,21,private,petrol,210,never,8728,4,21,4179
female,1,private,petrol,53,very frequently,9686,7,20,6185
female,15,walk/bicycle,,85,never,51,1,15,460
female,19,walk/bicycle,,81,never,4,2,12,1165
male,2,private,hybrid,72,rarely,6041,5,7,2186
female,7,private,diesel,168,rarely,792,6,9,2701
male,8,private,lpg,57,very frequently,6179,6,14,5037
female,13,private,electric,66,very frequently,6458,5,14,1726
male,24,private,electric,94,never,3657,3,11,796
male,20,walk/bicycle,,51,frequently,25,6,13,1382
female,7,private,diesel,255,frequently,5201,3,2,3161
female,21,public,,112,never,1110,5,13,1206
male,21,private,hybrid,162,rarely,1354,2,23,2179
female,14,walk/bicycle,,222,never,94,5,17,927
male,13,public,,84,never,1617,3,18,1427
female,23,walk/bicycle,,220,rarely,69,3,18,1310
female,21,private,petrol,297,never,9580,4,5,5229
female,12,private,electric,292,very frequently,1969,3,4,2851
female,16,private,diesel,190,never,2877,7,5,2210
female,16,private,petrol,273,never,9486,7,23,5302
female,12,private,lpg,139,frequently,6031,6,22,3157
male,15,walk/bicycle,,86,rarely,84,3,24,1948
female,15,private,diesel,241,frequently,2772,3,23,2028
female,18,public,,194,never,1360,7,11,1727
male,13,public,,237,very frequently,784,1,3,2175
female,24,private,lpg,153,rarely,615,1,13,762
female,2,public,,133,very frequently,693,2,2,2126
male,16,public,,148,rarely,291,4,21,1680
female,5,private,hybrid,83,very frequently,943,3,18,2644
female,14,walk/bicycle,,184,very frequently,73,3,5,1809
female,13,public,,186,never,70,4,13,1481
female,20,private,hybrid,219,never,5196,6,7,2520
female,16,public,,109,frequently,403,6,17,2051
male,20,walk/bicycle,,102,frequently,7,3,13,1632
male,7,private,diesel,151,very frequently,1078,2,1,2990
female,22,public,,134,very frequently,1550,6,0,2757
female,22,public,,174,very frequently,1610,5,6,3378
female,21,public,,115,never,730,1,17,942
male,15,public,,281,never,1779,4,9,1334
male,15,walk/bicycle,,164,frequently,51,6,6,2423
male,8,private,hybrid,252,very frequently,4490,1,2,3225
male,23,private,diesel,296,frequently,1283,6,20,2675
female,11,private,petrol,93,rarely,8521,1,7,4796
female,12,public,,227,never,1849,4,7,2274
male,22,walk/bicycle,,294,very frequently,58,5,11,3053
female,5,private,hybrid,125,never,1896,6,20,2345
male,24,public,,151,very frequently,1932,5,16,2922
female,11,public,,146,rarely,1527,5,2,1789
male,23,private,hybrid,275,very frequently,4688,1,10,3366
female,14,private,petrol,279,very frequently,6843,2,24,4929
female,17,private,hybrid,185,frequently,215,1,10,1989
female,8,walk/bicycle,,136,rarely,39,1,1,922
male,24,public,,87,very frequently,772,5,5,2605
male,1,walk/bicycle,,204,very frequently,40,1,0,2148
female,16,private,electric,260,frequently,7618,3,0,2290
male,8,walk/bicycle,,161,never,72,7,5,1857
male,22,public,,228,rarely,1951,5,5,1831
male,13,walk/bicycle,,96,frequently,10,1,11,1276
male,7,walk/bicycle,,262,rarely,29,7,6,1236
male,10,private,lpg,75,never,4791,6,7,2403
male,10,public,,146,frequently,1515,4,23,1913
male,19,walk/bicycle,,146,very frequently,56,2,7,2164
male,15,public,,125,never,1682,4,18,2150
male,21,walk/bicycle,,118,rarely,70,7,12,1488
female,2,private,diesel,173,never,8537,5,2,3373
female,18,private,hybrid,63,very frequently,8666,1,6,3584
male,20,walk/bicycle,,213,rarely,64,7,20,1936
male,19,walk/bicycle,,65,rarely,45,7,23,2636
female,5,public,,111,frequently,278,5,1,1560
female,16,public,,183,frequently,1410,2,4,2080
male,23,public,,206,never,1203,7,9,1315
male,8,public,,220,frequently,769,5,6,2032
male,5,private,hybrid,179,rarely,9331,3,22,3168
male,4,private,lpg,180,rarely,7981,5,24,3984
female,10,public,,90,frequently,564,5,17,1666
female,11,walk/bicycle,,210,never,34,3,13,1005
male,11,private,diesel,165,rarely,6585,6,4,4342
male,5,walk/bicycle,,127,frequently,47,3,13,1985
female,10,public,,187,frequently,1335,5,9,1495
female,11,public,,161,never,1954,6,21,1623
female,22,private,petrol,79,never,6179,3,7,2578
female,4,private,diesel,112,never,8098,6,3,3942
male,8,walk/bicycle,,179,frequently,27,5,21,1670
female,20,private,hybrid,143,very frequently,5877,7,20,4141
female,13,public,,257,never,1582,1,15,1222
female,3,private,lpg,103,very frequently,7686,4,3,4648
female,10,walk/bicycle,,81,frequently,62,7,2,1663
male,5,public,,117,rarely,764,6,5,1580
male,3,walk/bicycle,,178,very frequently,63,6,10,3504
female,6,public,,198,frequently,1361,6,23,2588
male,11,private,electric,122,frequently,4547,4,13,2871
male,12,walk/bicycle,,260,very frequently,97,4,17,3571
male,1,public,,99,rarely,1346,7,18,1267
female,1,private,petrol,122,very frequently,1669,4,9,2161
female,1,walk/bicycle,,260,frequently,18,7,6,2558
female,14,walk/bicycle,,251,never,11,1,2,306
male,14,private,diesel,68,very frequently,887,5,15,3829
female,18,public,,130,rarely,834,1,0,1610
male,16,private,diesel,92,frequently,3106,4,19,2956
male,16,private,diesel,54,very frequently,2052,3,18,3907
female,5,public,,101,very frequently,360,3,3,2425
female,11,private,petrol,247,rarely,7023,7,2,4000
female,17,walk/bicycle,,58,never,25,2,20,1204
male,11,private,hybrid,197,frequently,1481,3,1,2637
male,7,private,lpg,83,frequently,2484,1,3,1733
female,2,public,,221,frequently,1762,4,23,1857
male,11,walk/bicycle,,212,frequently,27,5,20,2564
female,2,walk/bicycle,,110,rarely,16,1,21,1892
male,15,walk/bicycle,,87,rarely,26,1,9,1881
male,14,private,diesel,218,very frequently,6020,5,3,6094
female,11,public,,211,frequently,1395,2,24,2238
male,21,walk/bicycle,,266,very frequently,61,7,15,3833
female,9,walk/bicycle,,229,never,75,4,1,1481
female,8,public,,288,very frequently,1365,3,14,2469
male,14,private,lpg,73,never,8299,2,4,3469
female,14,public,,196,never,1062,1,17,749
female,6,walk/bicycle,,153,frequently,45,7,1,1821
male,7,public,,113,rarely,316,3,6,1164
female,13,public,,177,frequently,1829,4,12,1555
female,2,walk/bicycle,,282,rarely,12,6,7,2322
male,15,walk/bicycle,,142,very frequently,38,2,6,2378
male,7,private,electric,131,frequently,4439,1,5,1926
female,11,private,hybrid,199,rarely,7904,5,10,2665
male,5,public,,171,never,1535,7,20,2510
female,24,walk/bicycle,,232,frequently,28,5,13,1837
male,15,walk/bicycle,,227,rarely,11,4,9,1437
male,11,walk/bicycle,,277,frequently,56,7,14,2563
male,6,public,,210,frequently,1844,5,18,2345
female,18,public,,226,never,1131,3,1,1805
male,6,public,,158,frequently,145,5,23,1643
male,3,public,,279,frequently,672,6,2,2196
male,24,private,electric,298,never,1637,7,0,2443
female,22,private,electric,234,frequently,6893,3,5,1699
male,5,private,lpg,247,frequently,66,6,12,2145
male,18,public,,150,rarely,1734,6,13,1632
female,6,walk/bicycle,,110,frequently,38,6,19,2035
male,22,private,diesel,221,very frequently,4733,1,6,4263
female,12,walk/bicycle,,69,very frequently,33,6,10,2926
female,14,public,,129,very frequently,2,6,19,2052
female,7,public,,133,never,670,5,17,833
male,18,public,,56,frequently,1370,4,12,2014
female,18,private,electric,157,very frequently,550,2,14,2475
male,13,walk/bicycle,,203,never,75,3,20,1822
male,1,public,,268,very frequently,31,6,12,2967
male,21,private,lpg,140,rarely,5868,4,23,3098
female,8,private,electric,189,never,9219,1,9,893
female,6,public,,234,rarely,330,1,21,1456
female,15,walk/bicycle,,127,very frequently,85,1,15,2028
female,7,private,diesel,168,very frequently,2267,2,18,2662
female,8,public,,154,never,1713,6,5,1190
female,10,walk/bicycle,,257,very frequently,81,5,22,2197
male,13,private,diesel,107,rarely,5165,3,3,2534
female,22,private,petrol,65,frequently,7189,5,0,5158
female,15,walk/bicycle,,222,never,88,5,24,1518
male,7,public,,218,frequently,348,1,20,1376
male,22,private,hybrid,238,very frequently,8108,6,20,4202
female,20,private,diesel,109,frequently,5349,5,15,3693
male,5,walk/bicycle,,136,rarely,52,1,17,1611
male,22,private,hybrid,250,very frequently,8930,7,19,4814
male,16,walk/bicycle,,136,never,10,4,17,1151
male,8,private,electric,151,very frequently,8712,4,13,3392
female,22,private,petrol,245,very frequently,3422,4,2,4080
male,23,public,,103,frequently,1798,1,5,2158
female,7,private,diesel,228,very frequently,6028,5,3,3758
female,16,walk/bicycle,,155,never,2,6,13,1865
female,6,public,,116,frequently,427,1,9,2325
female,12,walk/bicycle,,85,frequently,34,2,12,1930
male,11,walk/bicycle,,119,frequently,65,2,2,1910
female,14,private,diesel,288,frequently,8609,3,17,2779
female,3,public,,60,frequently,164,1,23,1739
male,3,walk/bicycle,,85,rarely,43,1,22,910
male,6,public,,152,never,1449,3,0,1467
male,21,public,,278,rarely,1849,5,6,2344
male,5,public,,95,rarely,1921,7,9,1344
male,18,private,hybrid,88,never,454,3,24,1851
female,24,walk/bicycle,,268,very frequently,0,1,20,2700
female,0,private,petrol,155,never,2752,2,11,1694
male,15,public,,244,never,1065,7,3,2112
male,5,public,,68,frequently,749,6,2,2098
male,0,walk/bicycle,,87,very frequently,58,5,23,2775
female,1,private,lpg,130,never,1071,1,13,1786
male,17,walk/bicycle,,191,never,30,7,1,2437
female,12,private,electric,299,very frequently,7031,2,10,2780
male,18,private,lpg,65,frequently,4298,5,5,3006
female,18,private,lpg,245,never,7618,2,8,3114
female,8,private,lpg,279,frequently,8301,6,22,3727
male,5,public,,122,rarely,1882,2,12,1302
female,16,public,,248,very frequently,207,6,12,2556
female,23,public,,50,frequently,671,5,6,1956
